"id","author","created","text","parent"
"48371392","martinald","2026-06-02T15:17:34Z","Don&#x27;t think so - the 3x is a separate cap. It actually reduces it down from market cap.<p>Eg say spaceX has $50bn of float at $1.5T valuation. If there wasn&#x27;t _any_ cap at all, the full $1.5T would be used as the market cap. With the (new) 3x cap, it means only $150bn of the $1.5T valuation is taken into account in the index weighting.<p>Before this change, SpaceX wouldn&#x27;t clear the 10% requirement to be listed in QQQ at all. So the 3x basically allows them to be included but _does not_ increase their market cap from $1.5T to $4.5T.<p>Btw, for clarity, I&#x27;m not saying there isn&#x27;t questionable behaviour going on here. My main point is that even if SpaceX, openai and anthropic all went to 0 (unlikely IMO), it&#x27;s not going to have a material impact on people&#x27;s retirements which is what OP was proposing.","48367243"
"48371189","throw0101c","2026-06-02T15:00:49Z","&gt; <i>If we are still likely to see rising interest rates, bonds feel like a bad idea.</i><p>Bonds are a bad idea until they&#x27;re not… at which point it may be too late to buy them.<p>And you (generally) don&#x27;t buy bonds for returns (at least not since the &#x27;80s). If you can sleep at night with the gyrations of The Market™ then go ahead and skip them, but also keep your timelines in mind (are you hoping to retire in 5-10 years, or make some other use of the money (downpayment)?).","48364927"
"48370932","groundzeros2015","2026-06-02T14:42:59Z","You’re right. I read this as banned the state from buying it (pensions etc). I agree that’s absurd if you were not allowed to buy through a broker.","48364854"
"48370659","randbyte","2026-06-02T14:21:47Z","What’s your argument besides name calling?<p>Please have it all, as long as don’t force my passive investments to be part of it.","48369882"
"48370415","xracy","2026-06-02T14:04:25Z","That&#x27;s justifying this because we&#x27;ve had rampant runaway inflation...<p>There&#x27;s nothing special about the number $1T.","48364223"
"48370379","root-parent","2026-06-02T14:01:51Z","We are not at CNBC, and that is the argument you hear there every 15 min from creatures like Cramer but this is about return on capital not revenue.","48360094"
"48370351","epsteingpt","2026-06-02T13:58:56Z","Why is anyone blaming the company management for &#x27;selling high&#x27;.<p>AI real expectations are about as frothy as they&#x27;ll ever be.<p>The latest models have legitimately taken senior coders from execution to agentic babysitting mode - something that was only a dream until last time.<p>There&#x27;s a rumor of a $500M MONTHLY Anthropic Bill - that is the equivalent total compensation of 10-15 THOUSAND senior ICs (L5, L6). Imagine what kind of company can spend that amount and pay their staff and somehow &#x27;see value&#x27;<p>The indexing argument is overblown. How many companies of the S&amp;P could the average commenter here name? My guess is - charitably - 30. Yes, weighting, etc. but every indexer here is buying in hundreds of companies they have <i>no idea</i> about the business of, and all of a sudden some percentage goes to a tech company they know about and they want to comment.<p>Let these people run their victory lap!","48358646"
"48369882","WarmWash","2026-06-02T13:16:22Z","Again, you can be a cynic and let others have your slice.","48364683"
"48369525","BryantD","2026-06-02T12:45:13Z","I was not a software engineer but yeah, I think so. Every now and then we’d have to go get Mike Burrows to do some consulting work to rewrite a bit more of the code in assembly.","48367651"
"48369515","lobocinza","2026-06-02T12:44:50Z","Anthropic is a software company.","48363785"
"48369496","BryantD","2026-06-02T12:42:36Z","It was a fun place to be. Sorry if I came across as curt — rereading that I was a bit more blunt than I intended. Sick cat has been stressing me.","48364933"
"48369477","ethbr1","2026-06-02T12:40:39Z","&quot;Google&quot; of today is really AdSense ($102M, 2003) -&gt; Android ($50M+?, 2005) -&gt; YouTube ($1.6B, 2006) -&gt; Google Docs ($50M+?, 2006)<p>Without those prescient and lucky acquisitions, we&#x27;d be talking about a &quot;Google&quot; that looked much more like Yahoo.<p>It wasn&#x27;t search proficiency that built the empire, it was leveraging a transient search quality advantage into cash flow, then plowing that cash into acquisitions to construct a durable moat.","48364993"
"48369370","jhy","2026-06-02T12:30:25Z","Thanks, AltaVista LiveTopics is a good keyword. I found:<p><a href=""https:&#x2F;&#x2F;www.researchgate.net&#x2F;figure&#x2F;Alta-Vista-LiveTopic-Graph_fig2_247392753"" rel=""nofollow"">https:&#x2F;&#x2F;www.researchgate.net&#x2F;figure&#x2F;Alta-Vista-LiveTopic-Gra...</a><p>which has some different coverage.<p>I did try to archive the blog you linked but unfortunately the owner is blocking it with robots.txt<p>User-agent: ia_archiver
Disallow: &#x2F;","48367808"
"48369368","BoggleOhYeah","2026-06-02T12:30:19Z","You are correct. That’s what I intended to say but I see that worded that comment unclearly.","48367783"
"48369102","lbreakjai","2026-06-02T12:01:56Z","(the) Public Benefit (the) corporation.","48360718"
"48369048","echoangle","2026-06-02T11:55:38Z","You&#x27;re paying a lot of premium if you buy a stock and then also short it to reduce your exposure.","48364378"
"48368939","moljac024","2026-06-02T11:42:23Z","I would argue models have been plateauing for quite some time now.","48368841"
"48368841","antasvara","2026-06-02T11:31:53Z","I&#x27;m not against a fundamentals-based argument. The revenue growth is wild and their margins are reported to be great. But the existential concern remains: what happens if models start plateauing?<p>I could be wrong, but the margins are so good because there isn&#x27;t a &quot;substitute&quot; for the frontier models. The performance difference between the latest Opus and a more open model provider is large enough to justify the extra cost. If that difference shrinks, I think the cost people are willing to pay will go way down.","48361720"
"48368750","bradleyjg","2026-06-02T11:22:38Z","The index don’t use the full market cap, they use free float. Except for nasdaq and the Dow which just pick numbers out of the air.<p>At least at first the spacex free float will be quite modest.","48363873"
"48368601","acdha","2026-06-02T11:03:14Z","That’s a specific bubble half a century into railroads transforming the American economy. While there were plenty of bad investments, that’s because so much of the economy depended on railroads to move goods and people.","48368002"
"48368442","kasey_junk","2026-06-02T10:42:46Z","Just to put some numbers on it, under current rules and valuations, if all 3 of SpaceX, OpenAI and Anthropic were to go public with their current valuations and be part of the nasdaq 100, and you were 100% allocated to that, you’d have ~8% portfolio exposure to them.  I suspect if you are the type of person who is 100% allocated to QQQ I’d guess you’d want _more_ exposure to those symbols than that.<p>For someone holding VTI its closer to 3% and a 2050 fund its more like 1.5%.  Indexing is how most people are investing in their retirement accounts because controversies like these just don’t matter much.  Hedging this off is going to cost more than its worth.","48362650"
"48368285","kasey_junk","2026-06-02T10:23:02Z","I learned computers and investing from my mother. She’s pretty competent approaching 80.","48363888"
"48368024","0xDEAFBEAD","2026-06-02T09:49:03Z","Historically speaking, this looks like a fantastic time to sell stocks.  Here&#x27;s the Shiller P&#x2F;E line graph:<p><a href=""https:&#x2F;&#x2F;www.multpl.com&#x2F;shiller-pe"" rel=""nofollow"">https:&#x2F;&#x2F;www.multpl.com&#x2F;shiller-pe</a><p>Valuations are literally at 1999 levels, and that&#x27;s <i>before</i> the coming IPOs.  No wonder they chose this moment to IPO.","48358965"
"48368014","0xDEAFBEAD","2026-06-02T09:47:35Z","Presumably, current Anthropic shareholders will buy buying other company stocks to diversify.","48360075"
"48368002","0xDEAFBEAD","2026-06-02T09:46:02Z","&gt;railroads had huge, immediate demand<p>Wikipedia states most capital in the late 1800s railroad bubble in the USA was &quot;involved in projects offering no immediate or early returns&quot; <a href=""https:&#x2F;&#x2F;en.wikipedia.org&#x2F;wiki&#x2F;Panic_of_1873"" rel=""nofollow"">https:&#x2F;&#x2F;en.wikipedia.org&#x2F;wiki&#x2F;Panic_of_1873</a>","48361747"
"48367911","0xDEAFBEAD","2026-06-02T09:34:50Z","Yeah I think it&#x27;s more realistic to reallocate to ETFs which skip the frothy stuff.  I wrote a comment about this in the other thread: <a href=""https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=48367563"">https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=48367563</a>","48360689"
"48367874","0xDEAFBEAD","2026-06-02T09:29:38Z","I doomer post because I see three basic possibilities:<p>* It&#x27;s a bubble, it crashes (no moat etc.)<p>* It&#x27;s not a bubble, we get superintelligence, it&#x27;s not nice, it squishes us all like bugs<p>* It&#x27;s not a bubble, we get superintelligence, it&#x27;s nice, we all get UBI<p>From the perspective of your personal financial security, the range of scenarios where you want to invest in Anthropic seems rather narrow.  And I don&#x27;t like to fund the creation of something which might squish me like a bug.","48363442"
"48367824","0xDEAFBEAD","2026-06-02T09:21:15Z","Exactly. Many people will choose the cheapest possible model that&#x27;s smart enough for their use case. &quot;Frontier&quot; is a transient property; open models tend to catch up in 6 months or so.","48365591"
"48367808","bsder","2026-06-02T09:18:22Z","I remember it being a Java applet with animations, but my memory could be terribly faulty at this point.<p>Following your comments and trying to trail things out, the <i>only</i> thing I can find is a reference to AltaVista LiveTopics.<p><a href=""https:&#x2F;&#x2F;dannysullivan.com&#x2F;why-search-sucks-you-wont-fix-it-the-way-you-think-203"" rel=""nofollow"">https:&#x2F;&#x2F;dannysullivan.com&#x2F;why-search-sucks-you-wont-fix-it-t...</a><p>I <i>suspect</i> what I used was that &quot;GRAPH&quot; button in the AltaVista Refine picture.<p>We might want to archive that image.  It seems like the only evidence that this stuff ever existed.","48367670"
"48367785","0xDEAFBEAD","2026-06-02T09:13:46Z","For reference, here&#x27;s an NYU prof&#x27;s website which shows typical ARR valuation multipliers by industry (see Price&#x2F;Sales ratio column):<p><a href=""https:&#x2F;&#x2F;pages.stern.nyu.edu&#x2F;~adamodar&#x2F;New_Home_Page&#x2F;datafile&#x2F;psdata.html"" rel=""nofollow"">https:&#x2F;&#x2F;pages.stern.nyu.edu&#x2F;~adamodar&#x2F;New_Home_Page&#x2F;datafile...</a><p>100x is staggering.  These companies are priced as though we are already chewing through the solar system to create AI computronium.  I&#x27;ll pass--I expect I&#x27;ll get a UBI when that scenario happens anyway.","48362166"
"48367783","mnicky","2026-06-02T09:13:17Z","I believe it&#x27;s the opposite :)
All major indices (S&amp;P500, MSCI, FTSE...) use free-float adjustments. And recently also NASDAQ - they&#x27;ve changed to cap of 3x the value of free-floating shares.","48363446"
"48367748","0xDEAFBEAD","2026-06-02T09:09:50Z","Revenue growth might be great, inference margins might be great.  Where&#x27;s the moat?","48361720"
"48367670","jhy","2026-06-02T08:55:59Z","That feature sounds amazing! I tried searching wayback etc but wasn&#x27;t able to find any more details. Do you happen to know of any screenshots &#x2F; deeper descriptions for it?<p>Perhaps we could nerd snipe Marginalia Search to add it :)","48364933"
"48367651","panick21_","2026-06-02T08:52:54Z","From the oral history interviews, it seem one of the tricks was keeping the core algorithm in cache completely.","48364324"
"48367585","elAhmo","2026-06-02T08:41:49Z","Knowing that investors in Elon&#x27;s companies blatantly trust his lies, a rocket exploding here and there is not going to make a dent in the stock price.","48361743"
